Champion,Ability,Spell Name,Has CC?,CC Type,Ability Description,Cooldown (Seconds)
Aatrox,,,,,,
Aatrox,Q,The Darkin Blade,❌,None,"Aatrox slams his greatsword down, dealing physical damage. He can swing three times, each with a different area of effect.",14/12/10/8/6
Aatrox,W,Infernal Chains,❌,None,"Aatrox smashes the ground, dealing damage to the first enemy hit. Champions and large monsters have to leave the impact area quickly or they will be dragged to the center and take the damage again.",20/18/16/14/12
Aatrox,E,Umbral Dash,❌,None,"Passively, Aatrox heals when damaging enemy champions. On activation, he dashes in a direction.",9/8/7/6/5
Aatrox,R,World Ender,✅,fear,"Aatrox unleashes his demonic form, fearing nearby enemy minions and gaining attack damage, increased healing, and Move Speed. If he gets a takedown, this effect is extended.",120/100/80
Ahri,,,,,,
Ahri,Q,Orb of Deception,❌,None,"Ahri sends out and pulls back her orb, dealing magic damage on the way out and true damage on the way back. ",7/7/7/7/7
Ahri,W,Fox-Fire,❌,None,"Ahri gains a brief burst of Move Speed and releases three fox-fires, that lock onto and attack nearby enemies.",9/8/7/6/5
Ahri,E,Charm,✅,charm,"Ahri blows a kiss that damages and charms an enemy it encounters, instantly stopping movement abilities and causing them to walk harmlessly towards her.",12/12/12/12/12
Ahri,R,Spirit Rush,❌,None,"Ahri dashes forward and fires essence bolts, damaging nearby enemies. Spirit Rush can be cast up to three times before going on cooldown, and gains additional recasts when taking down enemy champions.",130/115/100
Akali,,,,,,
Akali,Q,Five Point Strike,✅,slow,"Akali throws out five kunai, dealing damage based on her bonus Attack Damage and Ability Power and slowing.",1.5/1.5/1.5/1.5/1.5
Akali,W,Twilight Shroud,❌,None,"Akali drops a cover of smoke and briefly gains Move Speed. While inside the shroud, Akali becomes invisible and unable to be selected by enemy spells and attacks. Attacking or using abilities will briefly reveal her.  ",20/19/18/17/16
Akali,E,Shuriken Flip,❌,None,"Flip backward and fire a shuriken forward, dealing magic damage. The first enemy or smoke cloud hit is marked. Re-cast to dash to the marked target, dealing additional damage.",16/14.5/13/11.5/10
Akali,R,Perfect Execution,❌,None,"Akali leaps in a direction, damaging enemies she strikes. Re-cast: Akali dashes in a direction, executing all enemies she strikes.",120/90/60
Akshan,,,,,,
Akshan,Q,Avengerang,❌,None,"Akshan throws a boomerang that deals damage going out and coming back, extending its range each time it hits an enemy.",8/7.25/6.5/5.75/5
